mine_id,name,state,district,company,mine_type,ownership,status
CM-001,Aadocm,Jharkhand,BOKARO,CCL,OPENCAST,PUBLIC,WORKING
CM-002,ABGC,Jharkhand,DHANBAD,BCCL,OPENCAST,PUBLIC,WORKING
CM-003,Adasa (UG to OC),Maharashtra,NAGPUR,WCL,OPENCAST,PUBLIC,WORKING
CM-004,Adriyala Saft Project,Telangana,PEDDAPALLI,SCCL,UNDERGROUND,PUBLIC,WORKING
CM-005,AGKCC,Jharkhand,DHANBAD,BCCL,OPENCAST,PUBLIC,WORKING
CM-006,AKK OCP,Jharkhand,BOKARO,CCL,OPENCAST,PUBLIC,WORKING
CM-007,AKWMC,Jharkhand,DHANBAD,BCCL,OPENCAST,PUBLIC,WORKING
CM-008,Amadand,Madhya Pradesh,SHAHDOL,SECL,OPENCAST,PUBLIC,WORKING
CM-009,Amagamated Dhansar-Industry,Jharkhand,DHANBAD,BCCL,OPENCAST,PUBLIC,WORKING
CM-010,Amalgamated BOCP,Jharkhand,DHANBAD,BCCL,OPENCAST,PUBLIC,WORKING
CM-011,Amalgamated Gondegaon Ghatrohana,Maharashtra,NAGPUR,WCL,OPENCAST,PUBLIC,WORKING
CM-012,Amalgamated Inder Kamptee OCM,Maharashtra,NAGPUR,WCL,OPENCAST,PUBLIC,WORKING
CM-013,Amalgamated Yekona I & II,Maharashtra,CHANDRAPUR,WCL,OPENCAST,PUBLIC,WORKING
CM-014,Amalgameted Sudamdih-Patherdih,Jharkhand,DHANBAD,BCCL,OPENCAST,PUBLIC,WORKING
CM-015,Amelia (North ) Coal Mine,Madhya Pradesh,SINGRAULI,JPVL,OPENCAST,PRIVATE,WORKING
CM-016,Amelia Coal Block,Madhya Pradesh,SINGRAULI,THDC,OPENCAST,PUBLIC,WORKING
CM-017,Amera,Chhattisgarh,SURGUJA,SECL,OPENCAST,PUBLIC,WORKING
CM-018,Amgaon,Chhattisgarh,SURGUJA,SECL,OPENCAST,PUBLIC,WORKING
CM-019,Amlai OC,Madhya Pradesh,SHAHDOL,SECL,OPENCAST,PUBLIC,WORKING
CM-020,Amlohri,Madhya Pradesh,SINGRAULI,NCL,OPENCAST,PUBLIC,WORKING
CM-021,AMP Colliery,Jharkhand,DHANBAD,BCCL,MIXED,PUBLIC,WORKING
CM-022,Amrapali OCP,Jharkhand,CHATRA,CCL,OPENCAST,PUBLIC,WORKING
CM-023,Amritnagar Colliery,West Bengal,Bardhaman,ECL,UNDERGROUND,PUBLIC,WORKING
CM-024,Ananta OCP,Odisha,Angul,MCL,OPENCAST,PUBLIC,WORKING
CM-025,ARA Reorganisation,Jharkhand,RAMGARH,CCL,OPENCAST,PUBLIC,NON_WORKING
CM-026,Ashoka,Jharkhand,CHATRA,CCL,OPENCAST,PUBLIC,WORKING
CM-027,Badjna Colliery,Jharkhand,DHANBAD,ECL,MIXED,PUBLIC,WORKING
CM-028,Bagdeva,Chhattisgarh,KORBA,SECL,UNDERGROUND,PUBLIC,WORKING
CM-029,Bahula Colliery,West Bengal,Bardhaman,ECL,UNDERGROUND,PUBLIC,WORKING
CM-030,Ballarpur 3 & 4 Pits,Maharashtra,CHANDRAPUR,WCL,UNDERGROUND,PUBLIC,WORKING
CM-031,Ballarpur OCM,Maharashtra,CHANDRAPUR,WCL,OPENCAST,PUBLIC,WORKING
CM-032,Balram OCP,Odisha,Angul,MCL,OPENCAST,PUBLIC,WORKING
CM-033,Balrampur,Chhattisgarh,SURGUJA,SECL,UNDERGROUND,PUBLIC,WORKING
CM-034,Bangwar,Madhya Pradesh,SHAHDOL,SECL,UNDERGROUND,PUBLIC,WORKING
CM-035,Bankola Colliery,West Bengal,Bardhaman,ECL,UNDERGROUND,PUBLIC,WORKING
CM-036,Bansra Colliery,West Bengal,Bardhaman,ECL,MIXED,PUBLIC,WORKING
CM-037,Baranj,Maharashtra,CHANDRAPUR,KPCL,OPENCAST,PUBLIC,WORKING
CM-038,Barjora (North) Coal Mine,West Bengal,BANKURA,WBPDCL,OPENCAST,PUBLIC,WORKING
CM-039,Barmuri,Jharkhand,DHANBAD,ECL,OPENCAST,PUBLIC,WORKING
CM-040,Baroud OC,Chhattisgarh,RAIGARH,SECL,OPENCAST,PUBLIC,WORKING
CM-041,Bartarai,Madhya Pradesh,SHAHDOL,SECL,UNDERGROUND,PUBLIC,WORKING
CM-042,Basantimata -Dahibari,Jharkhand,DHANBAD,BCCL,OPENCAST,PUBLIC,WORKING
CM-043,Basdeopur,Jharkhand,DHANBAD,BCCL,OPENCAST,PUBLIC,WORKING
CM-044,Bastacolla,Jharkhand,DHANBAD,BCCL,OPENCAST,PUBLIC,WORKING
CM-045,Basundhara (West) OCP,Odisha,SUNDARGARH,MCL,OPENCAST,PUBLIC,WORKING
CM-046,Behraband,Madhya Pradesh,SHAHDOL,SECL,UNDERGROUND,PUBLIC,WORKING
CM-047,Bejdih Colliery,West Bengal,Bardhaman,ECL,UNDERGROUND,PUBLIC,WORKING
CM-048,Belbaid Colliery,West Bengal,Bardhaman,ECL,UNDERGROUND,PUBLIC,WORKING
CM-049,Belgaon Coal Mine,Maharashtra,CHANDRAPUR,SISCO,UNDERGROUND,PRIVATE,WORKING
CM-050,Bhadra,Madhya Pradesh,SHAHDOL,SECL,UNDERGROUND,PUBLIC,WORKING
CM-051,Bhanegaon OCM,Maharashtra,NAGPUR,WCL,OPENCAST,PUBLIC,WORKING
CM-052,Bhanora West Block colliery & Bhanora OC patch (H),West Bengal,Bardhaman,ECL,MIXED,PUBLIC,WORKING
CM-053,Bharatpur OCP,Odisha,Angul,MCL,OPENCAST,PUBLIC,WORKING
CM-054,Bhatadi OC Mine,Maharashtra,CHANDRAPUR,WCL,OPENCAST,PUBLIC,WORKING
CM-055,Bhatgaon,Chhattisgarh,SURGUJA,SECL,UNDERGROUND,PUBLIC,WORKING
CM-056,Bhelatand Colliery,Jharkhand,DHANBAD,TSL,UNDERGROUND,PRIVATE,WORKING
CM-057,Bhowra(S),Jharkhand,DHANBAD,BCCL,OPENCAST,PUBLIC,WORKING
CM-058,Bhubaneswari OCP,Odisha,Angul,MCL,OPENCAST,PUBLIC,WORKING
CM-059,Bhurkunda,Jharkhand,RAMGARH,CCL,UNDERGROUND,PUBLIC,NON_WORKING
CM-060,Bhurkunda (Sangum),Jharkhand,RAMGARH,CCL,OPENCAST,PUBLIC,WORKING
CM-061,Bicharpur,Madhya Pradesh,SHAHDOL,UTCL,UNDERGROUND,PRIVATE,WORKING
CM-062,Bijari OC,Chhattisgarh,RAIGARH,SECL,OPENCAST,PUBLIC,WORKING
CM-063,Bijuri,Madhya Pradesh,SHAHDOL,SECL,UNDERGROUND,PUBLIC,WORKING
CM-064,Bina Extn,Uttar Pradesh,SONBHADRA,NCL,OPENCAST,PUBLIC,WORKING
CM-065,Block-B Project,Madhya Pradesh,SINGRAULI,NCL,OPENCAST,PUBLIC,WORKING
CM-066,Bokaro OC (Bermo),Jharkhand,BOKARO,CCL,OPENCAST,PUBLIC,WORKING
CM-067,Bonjemehari OC (Extn),West Bengal,Bardhaman,ECL,OPENCAST,PUBLIC,WORKING
CM-068,C L Jambad OCP,West Bengal,Bardhaman,ECL,OPENCAST,PUBLIC,WORKING
CM-069,Central Kajora Colliery,West Bengal,Bardhaman,ECL,UNDERGROUND,PUBLIC,WORKING
CM-070,Central Saunda,Jharkhand,RAMGARH,CCL,UNDERGROUND,PUBLIC,NON_WORKING
CM-071,Chainpur(Sarubera) Colly.,Jharkhand,RAMGARH,CCL,OPENCAST,PUBLIC,NON_WORKING
CM-072,Chanda Rayatwari Colliery,Maharashtra,CHANDRAPUR,WCL,UNDERGROUND,PUBLIC,NON_WORKING
CM-073,Chapapur-II & Chappapur 10 Quarry (OC),Jharkhand,DHANBAD,ECL,MIXED,PUBLIC,WORKING
CM-074,Chapuikhas Colliery,West Bengal,Bardhaman,ECL,UNDERGROUND,PUBLIC,WORKING
CM-075,Chasnalla Colliery,Jharkhand,DHANBAD,IISCO,UNDERGROUND,PUBLIC,WORKING
CM-076,Chatti Bariatu Coal Mining Project,Jharkhand,HAZARIBAGH,NTPC,OPENCAST,PUBLIC,WORKING
CM-077,Chhal OC,Chhattisgarh,RAIGARH,SECL,OPENCAST,PUBLIC,WORKING
